ProductID,Name,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,rowguid,ModifiedDate
379,Hex Nut 7,HN-1224,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{BA3631D1-33D6-4A2F-8413-758BFDA6F9C2},2008-03-11 10:01:36.827000000
380,Hex Nut 8,HN-1420,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{B478B33A-1FD5-4DB6-B99A-EB3B2A7C1623},2008-03-11 10:01:36.827000000
381,Hex Nut 9,HN-1428,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{DA46D979-59DF-456D-B5AE-E7E89FC589DF},2008-03-11 10:01:36.827000000
382,Hex Nut 22,HN-3410,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{2F457404-197D-4DDF-9868-A3AAD1B32D6B},2008-03-11 10:01:36.827000000
383,Hex Nut 23,HN-3416,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{5F02449E-96E5-4FC8-ADE0-8A9A7F533624},2008-03-11 10:01:36.827000000
384,Hex Nut 12,HN-3816,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{32C97696-7C3D-4793-A54B-3D73200BADBC},2008-03-11 10:01:36.827000000
385,Hex Nut 13,HN-3824,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{8F0902D0-274D-4A4B-8FDE-E37F53B2AB29},2008-03-11 10:01:36.827000000
386,Hex Nut 1,HN-4402,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{57456F8C-CB78-45EC-B9B8-21A9BE5C12F5},2008-03-11 10:01:36.827000000
387,Hex Nut 10,HN-5161,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{955811B4-2F17-48F0-A8B4-0C96CBA4AA6D},2008-03-11 10:01:36.827000000
388,Hex Nut 11,HN-5162,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{7D4BAD17-374F-4281-9AE5-49ABC3FE585D},2008-03-11 10:01:36.827000000
389,Hex Nut 2,HN-5400,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{17C4B7BA-8574-4EC7-BD3B-7A51ABA61F69},2008-03-11 10:01:36.827000000
390,Hex Nut 20,HN-5811,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{B4E990B7-B3F7-4F97-8F98-CE373833ADB4},2008-03-11 10:01:36.827000000
391,Hex Nut 21,HN-5818,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{433EE702-E028-4630-895C-8CDBD0F1FD89},2008-03-11 10:01:36.827000000
392,Hex Nut 3,HN-6320,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{EE76FAE0-161E-409C-A6F5-837B5B8B344D},2008-03-11 10:01:36.827000000
393,Hex Nut 14,HN-7161,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{EB10B88C-5351-4C06-AF51-116BAA48A2C8},2008-03-11 10:01:36.827000000
394,Hex Nut 15,HN-7162,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{35E28755-E8F0-47BE-A8BE-A20836DBE28D},2008-03-11 10:01:36.827000000
395,Hex Nut 4,HN-8320,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{69AB8D5E-6101-4203-81B1-794E923782EA},2008-03-11 10:01:36.827000000
396,Hex Nut 18,HN-9161,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{39D42384-66F6-4CCD-B471-0589FC3FC576},2008-03-11 10:01:36.827000000
397,Hex Nut 19,HN-9168,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{B63F827E-9055-4678-9E90-4FFD8D06D4D4},2008-03-11 10:01:36.827000000
398,Handlebar Tube,HT-2981,True,False,,800,600,0,0,,,,,1,,,,,,2002-06-01 00:00:00,,,{9F88C58E-5CFA-46C9-8994-DA4F3FFE92ED},2008-03-11 10:01:36.827000000
399,Head Tube,HT-8019,True,False,,800,600,0,0,,,,,1,,,,,,2002-06-01 00:00:00,,,{B047C048-B4FB-4F80-94BC-C5FC00A6F77F},2008-03-11 10:01:36.827000000
400,LL Hub,HU-6280,True,False,,500,375,0,0,,,,,1,,L ,,,,2002-06-01 00:00:00,,,{AB332DDA-DDA5-44AD-8C50-34FFACEFFA8E},2008-03-11 10:01:36.827000000
401,HL Hub,HU-8998,True,False,,500,375,0,0,,,,,1,,,,,,2002-06-01 00:00:00,,,{D59403A3-D19E-4803-BDA2-B436A6416FDA},2008-03-11 10:01:36.827000000
402,Keyed Washer,KW-4091,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{43024784-2741-4CAB-A6DC-8050CE507F2E},2008-03-11 10:01:36.827000000
403,External Lock Washer 3,LE-1000,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{763412F0-6D53-43E2-B371-DCBED69F5E98},2008-03-11 10:01:36.827000000
404,External Lock Washer 4,LE-1200,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{89B6E84F-5C08-4CD9-B803-01F2CE24E417},2008-03-11 10:01:36.827000000
405,External Lock Washer 9,LE-1201,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{3330A721-E8CB-4E67-8D27-300DB68C2395},2008-03-11 10:01:36.827000000
406,External Lock Washer 5,LE-1400,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{39314098-768B-49F9-A777-AF2E3BB06B17},2008-03-11 10:01:36.827000000
407,External Lock Washer 7,LE-3800,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{93F7BC73-BD22-45A0-9F2E-A11932342E6B},2008-03-11 10:01:36.827000000
408,External Lock Washer 6,LE-5160,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{DC5F4CB0-A599-42CD-A96F-E9F01BC1DACC},2008-03-11 10:01:36.827000000
409,External Lock Washer 1,LE-6000,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{802B7687-BC74-43F8-98AE-2112166FACA7},2008-03-11 10:01:36.827000000
410,External Lock Washer 8,LE-7160,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{02C48826-21AD-41F3-85A6-BC9A85A4DCE4},2008-03-11 10:01:36.827000000
411,External Lock Washer 2,LE-8000,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{502A2A3D-CD72-43AD-8FB6-77505187EDF4},2008-03-11 10:01:36.827000000
412,Internal Lock Washer 3,LI-1000,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{F1168C45-E4D2-4C37-ADAD-B76EAF402B71},2008-03-11 10:01:36.827000000
413,Internal Lock Washer 4,LI-1200,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{7F7413BB-BAD2-47E4-9BC4-D98B194BE35D},2008-03-11 10:01:36.827000000
414,Internal Lock Washer 9,LI-1201,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{4F040109-8332-4FCF-8084-57E6D8C49283},2008-03-11 10:01:36.827000000
415,Internal Lock Washer 5,LI-1400,False,False,,1000,750,0,0,,,,,0,,,,,,2002-06-01 00:00:00,,,{0C02F2CC-BDB4-4794-A4F9-0EB33F7545C2},2008-03-11 10:01:36.827000000
